Model Name,Policy,Learning Rate (lr),Gamma (γ),Batch Size,epsilon_start,epsilon_end,epsilon_decay,steps,env_id,Observed Mean Reward,Observed Std Dev,Observed Avg Episode Length,Noted Behavior
A01_Baseline_CNN,CnnPolicy,0.0001,0.99,32,1.0,0.05,0.1,200000,ALE/Breakout-v5,11.4,5.82,2,Standard baseline with default CNN hyperparameters. Agent learned basic paddle movement and began tracking the ball. Stable but unoptimized performance.
  A02_High_LR,CnnPolicy,0.0005,0.99,32,1.0,0.05,0.1,200000,ALE/Breakout-v5,16.8,9.14,2,Higher learning rate accelerated initial learning but introduced instability. Agent showed erratic paddle movement at times yet scored higher on average due to aggressive Q-value updates.
  A03_Very_Low_LR,CnnPolicy,0.00001,0.99,32,1.0,0.05,0.1,200000,ALE/Breakout-v5,6.2,3.45,2,Very slow learning rate severely hampered the agent. Weights updated too slowly to capture fast ball dynamics within the given training budget.
  A04_High_Gamma,CnnPolicy,0.0001,0.995,32,1.0,0.05,0.1,200000,ALE/Breakout-v5,13.0,6.20,3,Near-future-maximizing discount factor. Agent placed high value on long-term rewards but converged slowly; slight improvement over baseline.
    A05_Low_Gamma,CnnPolicy,0.0001,0.90,32,1.0,0.05,0.1,200000,ALE/Breakout-v5,17.4,7.90,5,Short-sighted but effective strategy. Lower gamma pushed the agent to exploit immediate rewards aggressively; surprisingly competitive performance.
      A06_Large_Batch,CnnPolicy,0.0001,0.99,64,1.0,0.05,0.1,200000,ALE/Breakout-v5,19.6,10.22,3,Larger batch provided more stable gradient estimates. Consistent top-tier performance with reduced variance; better generalization per update step.
        A07_Small_Batch,CnnPolicy,0.0001,0.99,16,1.0,0.05,0.1,200000,ALE/Breakout-v5,8.8,4.30,27,Very small batch led to noisy updates. Agent survived many steps but scored poorly; high variance in policy updates prevented effective learning.
          A08_Slow_Epsilon_Decay,CnnPolicy,0.0001,0.99,32,1.0,0.05,0.3,200000,ALE/Breakout-v5,14.2,6.88,3,Slower exploration decay kept the agent exploring longer. Good balance of exploration and exploitation; marginally better than baseline.
            A09_MLP_Policy,MlpPolicy,0.0001,0.99,32,1.0,0.05,0.1,200000,ALE/Breakout-v5,5.6,2.34,2,MLP policy lacked spatial feature extraction capability essential for image-based Atari tasks. Scored ~51% less than CNN baseline confirming CNNs superiority for visual RL.
              A10_Optimized,CnnPolicy,0.00025,0.97,64,1.0,0.01,0.2,200000,ALE/Breakout-v5,22.8,11.05,4,Best configuration. Balanced learning rate with moderate gamma and large batch produced optimal reward. Very low epsilon_end ensured near-greedy exploitation at convergence.
